fullName,states,latitude,longitude,designation,parkCode,activities,entranceFees
Cedar Creek & Belle Grove National Historical Park,VA,39.0093576,-78.30618934,National Historical Park,cebe,"Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Junior Ranger Program,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",
Chaco Culture National Historical Park,NM,36.03963414,-107.9560076,National Historical Park,chcu,"Astronomy,Camping,Guided Tours,Hiking,Junior Ranger Program",25.00
Chamizal National Memorial,TX,31.76729634,-106.4544011,National Memorial,cham,"Arts and Culture,Biking,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Hands-On,Hiking,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store",
Channel Islands National Park,CA,33.98680093,-119.9112735,National Park,chis,"Astronomy,Stargazing,Boating,Motorized Boating,Sailing,Boat Tour,Camping,Backcountry Camping,Canoe or Kayak Camping,Group Camping,Compass and GPS,Orienteering,Fishing,Saltwater Fishing,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Boat Tour,Hiking,Backcountry Hiking,Front-Country Hiking,Off-Trail Permitted Hiking,Paddling,Canoe or Kayak Camping,Kayaking,Stand Up Paddleboarding,Junior Ranger Program,SCUBA Diving,Snorkeling,Surfing,Swimming,Saltwater Swimming,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store",
Charles Pinckney National Historic Site,SC,32.84577392,-79.82487582,National Historic Site,chpi,"Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Hands-On,Citizen Science,Volunteer Vacation,Hiking,Front-Country Hiking,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store",
Charles Young Buffalo Soldiers National Monument,OH,39.70817829,-83.89328575,National Monument,chyo,"Food,Dining,Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Junior Ranger Program,Park Film",
Chattahoochee River National Recreation Area,GA,33.99698333,-84.28953177,National Recreation Area,chat,"Biking,Boating,Fishing,Hiking,Paddling,Canoeing,Kayaking,Stand Up Paddleboarding,Whitewater Rafting,Junior Ranger Program,Tubing,River Tubing,Swimming,Freshwater Swimming,Wildlife Watching,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",5.00
Chesapeake & Ohio Canal National Historical Park,"DC,MD,WV",39.000283692,-77.2481399539,National Historical Park,choh,"Biking,Road Biking,Boating,Boat Tour,Camping,Car or Front Country Camping,Group Camping,Fishing,Freshwater Fishing,Guided Tours,Boat Tour,Hiking,Front-Country Hiking,Horse Trekking,Horseback Riding,Ice Skating,Paddling,Junior Ranger Program,Skiing,Cross-Country Skiing,Snowshoeing,Wildlife Watching,Birdwatching,Shopping",20.00
Chesapeake Bay,"DC,DE,MD,NY,PA,VA,WV",38.971601,-76.483355,,cbpo,"Boating,Compass and GPS,Geocaching,Guided Tours,Paddling,Junior Ranger Program,Wildlife Watching",
Chickamauga & Chattanooga National Military Park,"GA,TN",34.94317623,-85.28749537,National Military Park,chch,"Auto and ATV,Scenic Driving,Biking,Road Biking,Climbing,Rock Climbing,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Hiking,Front-Country Hiking,Horse Trekking,Horseback Riding,Living History,Historic Weapons Demonstration,First Person Interpretation,Paddling,Canoeing,Kayaking,Junior Ranger Program,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store",10.00
Chickasaw National Recreation Area,OK,34.46050507,-97.00715669,National Recreation Area,chic,"Astronomy,Stargazing,Biking,Mountain Biking,Road Biking,Boating,Motorized Boating,Jet Skiing,Camping,Car or Front Country Camping,Group Camping,RV Camping,Fishing,Food,Picnicking,Hands-On,Volunteer Vacation,Hiking,Front-Country Hiking,Horse Trekking,Horseback Riding,Hunting and Gathering,Gathering and Foraging,Hunting,Paddling,Canoeing,Kayaking,Stand Up Paddleboarding,Junior Ranger Program,Swimming,Freshwater Swimming,Water Skiing,Wildlife Watching,Birdwatching,Shopping,Bookstore and Park Store",
Chiricahua National Monument,AZ,32.01214618,-109.341607,National Monument,chir,"Auto and ATV,Scenic Driving,Astronomy,Stargazing,Camping,Food,Picnicking,Hiking,Horse Trekking,Horseback Riding,Junior Ranger Program,Wildlife Watching,Birdwatching,Museum Exhibits,Shopping,Bookstore and Park Store",
Christiansted National Historic Site,VI,17.7468,-64.7022,National Historic Site,chri,"Arts and Culture,Live Music,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Junior Ranger Program,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",10.00
City Of Rocks National Reserve,ID,42.0699024,-113.7124097,National Reserve,ciro,"Auto and ATV,Scenic Driving,Astronomy,Stargazing,Biking,Mountain Biking,Camping,Backcountry Camping,Car or Front Country Camping,Horse Camping (see also Horse/Stock Use),Group Camping,RV Camping,Climbing,Rock Climbing,Ice Climbing,Fishing,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Hiking,Horse Trekking,Horse Camping (see also camping),Horseback Riding,Hunting and Gathering,Hunting,Ice Skating,Living History,First Person Interpretation,Junior Ranger Program,Skiing,Cross-Country Skiing,Snow Play,Snowmobiling,Snowshoeing,Wildlife Watching,Birdwatching,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",
Civil War Defenses of Washington,"DC,MD,VA",38.9644,-77.0292,,cwdw,"Arts and Culture,Theater,Biking,Mountain Biking,Road Biking,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Hiking,Living History,First Person Interpretation,Junior Ranger Program,Wildlife Watching,Park Film",
Clara Barton National Historic Site,MD,38.96762882,-77.14009689,National Historic Site,clba,"Guided Tours,Museum Exhibits",
Colonial National Historical Park,VA,37.22824435,-76.61998123,National Historical Park,colo,"Arts and Culture,Auto and ATV,Scenic Driving,Biking,Road Biking,Guided Tours,Self-Guided Tours - Walking,Junior Ranger Program",15.00
Colorado National Monument,CO,39.05045016,-108.6920709,National Monument,colm,"Auto and ATV,Scenic Driving,Biking,Road Biking,Camping,Backcountry Camping,Car or Front Country Camping,Climbing,Rock Climbing,Food,Picnicking,Hiking,Backcountry Hiking,Front-Country Hiking,Junior Ranger Program,Wildlife Watching,Park Film,Shopping,Bookstore and Park Store",25.00
Coltsville National Historical Park,CT,42.4677505493,-73.203666687,National Historical Park,colt,,
Congaree National Park,SC,33.79187523,-80.74867805,National Park,cong,"Camping,Backcountry Camping,Canoe or Kayak Camping,Car or Front Country Camping,Group Camping,Fishing,Freshwater Fishing,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Hands-On,Citizen Science,Volunteer Vacation,Hiking,Backcountry Hiking,Front-Country Hiking,Off-Trail Permitted Hiking,Paddling,Canoeing,Canoe or Kayak Camping,Kayaking,Junior Ranger Program,Museum Exhibits,Shopping,Bookstore and Park Store",
Constitution Gardens,DC,38.8909354,-77.04409306,,coga,Junior Ranger Program,
Coronado National Memorial,AZ,31.34900397,-110.2561574,National Memorial,coro,"Auto and ATV,Scenic Driving,Biking,Road Biking,Caving,Food,Picnicking,Guided Tours,Hiking,Junior Ranger Program,Wildlife Watching,Birdwatching,Shopping,Bookstore and Park Store",
Cowpens National Battlefield,SC,35.13160654,-81.80935433,National Battlefield,cowp,"Biking,Road Biking,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Living History,Junior Ranger Program,Park Film,Museum Exhibits",
Crater Lake National Park,OR,42.94065854,-122.1338414,National Park,crla,"Auto and ATV,Scenic Driving,Astronomy,Stargazing,Biking,Road Biking,Boating,Boat Tour,Camping,Backcountry Camping,Car or Front Country Camping,RV Camping,Compass and GPS,Orienteering,Fishing,Food,Dining,Picnicking,Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Bus/Shuttle Guided Tour,Boat Tour,Hands-On,Citizen Science,Hiking,Backcountry Hiking,Front-Country Hiking,Off-Trail Permitted Hiking,Junior Ranger Program,Skiing,Cross-Country Skiing,Snow Play,Snowmobiling,Snowshoeing,Swimming,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",30.00
Craters Of The Moon National Monument & Preserve,ID,43.20345611,-113.4791609,National Monument & Preserve,crmo,"Auto and ATV,Scenic Driving,Astronomy,Stargazing,Biking,Road Biking,Camping,Backcountry Camping,Caving,Hiking,Backcountry Hiking,Junior Ranger Program,Skiing,Cross-Country Skiing,Snowshoeing,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",20.00
Cumberland Gap National Historical Park,"KY,TN,VA",36.62503076,-83.6114083,National Historical Park,cuga,"Biking,Camping,Backcountry Camping,Caving,Guided Tours,Hiking,Backcountry Hiking,Wildlife Watching,Park Film,Shopping,Bookstore and Park Store",
Cumberland Island National Seashore,GA,30.85857484,-81.45253575,National Seashore,cuis,"Biking,Boating,Camping,Guided Tours,Hiking,Hunting and Gathering,Hunting,Swimming,Saltwater Swimming,Wildlife Watching,Birdwatching",15.00
Curecanti National Recreation Area,CO,38.46584558,-107.3303371,National Recreation Area,cure,"Astronomy,Stargazing,Boating,Motorized Boating,Sailing,Jet Skiing,Camping,Backcountry Camping,Canoe or Kayak Camping,Car or Front Country Camping,Horse Camping (see also Horse/Stock Use),Group Camping,RV Camping,Climbing,Rock Climbing,Fishing,Freshwater Fishing,Fly Fishing,Hiking,Front-Country Hiking,Horse Trekking,Horse Camping (see also camping),Horseback Riding,Hunting and Gathering,Hunting,Ice Skating,Paddling,Canoeing,Canoe or Kayak Camping,Kayaking,Stand Up Paddleboarding,Junior Ranger Program,Skiing,Cross-Country Skiing,Snowmobiling,Snowshoeing,Swimming,Freshwater Swimming,Water Skiing,Wildlife Watching,Birdwatching,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",
Cuyahoga Valley National Park,OH,41.26093905,-81.57116722,National Park,cuva,"Arts and Culture,Craft Demonstrations,Cultural Demonstrations,Live Music,Biking,Mountain Biking,Fishing,Food,Picnicking,Hands-On,Citizen Science,Hiking,Horse Trekking,Horseback Riding,Living History,Paddling,Canoeing,Kayaking,Stand Up Paddleboarding,Junior Ranger Program,Skiing,Cross-Country Skiing,Snow Play,Snowshoeing,Wildlife Watching,Birdwatching,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",
César E. Chávez National Monument,CA,35.22729389,-118.5615781,National Monument,cech,"Guided Tours,Self-Guided Tours - Auto,Museum Exhibits,Shopping,Gift Shop and Souvenirs",
Dayton Aviation Heritage National Historical Park,OH,39.78944467,-84.10442045,National Historical Park,daav,"Biking,Road Biking,Guided Tours,Junior Ranger Program,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store",
De Soto National Memorial,FL,27.52272613,-82.64335416,National Memorial,deso,"Fishing,Saltwater Fishing,Living History,Reenactments,Historic Weapons Demonstration,Paddling,Kayaking,Shopping,Bookstore and Park Store",
Death Valley National Park,"CA,NV",36.48753731,-117.134395,National Park,deva,"Astronomy,Stargazing,Biking,Mountain Biking,Road Biking,Camping,Backcountry Camping,Car or Front Country Camping,Canyoneering,Food,Flying,Golf,Guided Tours,Hiking,Backcountry Hiking,Front-Country Hiking,Horse Trekking,Living History,First Person Interpretation,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",30.00
Delaware Water Gap National Recreation Area,"NJ,PA",41.12793491,-74.94751173,National Recreation Area,dewa,"Arts and Culture,Auto and ATV,Scenic Driving,Biking,Boating,Camping,Backcountry Camping,Canoe or Kayak Camping,Car or Front Country Camping,Group Camping,RV Camping,Climbing,Fishing,Freshwater Fishing,Fly Fishing,Food,Picnicking,Guided Tours,Hiking,Horse Trekking,Horseback Riding,Hunting and Gathering,Hunting,Paddling,Canoeing,Canoe or Kayak Camping,Kayaking,Junior Ranger Program,Skiing,Cross-Country Skiing,Snowshoeing,Swimming,Freshwater Swimming,Wildlife Watching,Birdwatching,Museum Exhibits,Shopping,Bookstore and Park Store",10.00
Denali National Park & Preserve,AK,63.29777484,-151.0526568,National Park & Preserve,dena,"Arts and Culture,Astronomy,Stargazing,Biking,Camping,Backcountry Camping,Car or Front Country Camping,Group Camping,RV Camping,Climbing,Mountain Climbing,Dog Sledding,Fishing,Food,Flying,Guided Tours,Bus/Shuttle Guided Tour,Hiking,Backcountry Hiking,Front-Country Hiking,Off-Trail Permitted Hiking,Hunting and Gathering,Gathering and Foraging,Hunting,Junior Ranger Program,Skiing,Cross-Country Skiing,Snow Play,Snowmobiling,Snowshoeing,Wildlife Watching,Park Film,Shopping,Bookstore and Park Store",15.00
Devils Postpile National Monument,CA,37.6152564,-119.0873903,National Monument,depo,"Astronomy,Stargazing,Biking,Road Biking,Camping,Car or Front Country Camping,Fishing,Hiking,Front-Country Hiking,Horse Trekking,Horseback Riding,Junior Ranger Program,Wildlife Watching",
Devils Tower National Monument,WY,44.59064655,-104.7156341,National Monument,deto,"Astronomy,Stargazing,Camping,Car or Front Country Camping,Group Camping,RV Camping,Climbing,Rock Climbing,Hiking,Front-Country Hiking,Junior Ranger Program,Wildlife Watching,Birdwatching",25.00
Dinosaur National Monument,"CO,UT",40.50739742,-108.9333714,National Monument,dino,"Astronomy,Stargazing,Biking,Road Biking,Camping,Backcountry Camping,Car or Front Country Camping,Group Camping,RV Camping,Fishing,Guided Tours,Self-Guided Tours - Auto,Hiking,Backcountry Hiking,Front-Country Hiking,Off-Trail Permitted Hiking,Paddling,Canoeing,Canoe or Kayak Camping,Kayaking,Stand Up Paddleboarding,Whitewater Rafting,Junior Ranger Program,Skiing,Cross-Country Skiing,Wildlife Watching,Birdwatching,Park Film,Shopping,Bookstore and Park Store",25.00
Dry Tortugas National Park,FL,24.628741,-82.87319,National Park,drto,"Astronomy,Stargazing,Boating,Boat Tour,Camping,Fishing,Guided Tours,Hands-On,Volunteer Vacation,Paddling,Junior Ranger Program,SCUBA Diving,Snorkeling,Swimming,Wildlife Watching,Birdwatching,Shopping,Bookstore and Park Store",15.00
Dwight D. Eisenhower Memorial,DC,38.8869476647,-77.018737554,Memorial,ddem,"Guided Tours,Self-Guided Tours - Walking",
Ebey's Landing National Historical Reserve,WA,48.21403036,-122.6877213,National Historical Reserve,ebla,"Astronomy,Stargazing,Biking,Mountain Biking,Road Biking,Boating,Sailing,Camping,Car or Front Country Camping,Group Camping,Fishing,Saltwater Fishing,Food,Dining,Picnicking,Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Hiking,Front-Country Hiking,Horse Trekking,Horseback Riding,Paddling,Canoeing,Canoe or Kayak Camping,Kayaking,Stand Up Paddleboarding,Junior Ranger Program,SCUBA Diving,Wildlife Watching,Birdwatching,Museum Exhibits,Shopping",
Edgar Allan Poe National Historic Site,PA,39.96195482,-75.1500062,National Historic Site,edal,"Guided Tours,Junior Ranger Program",
Effigy Mounds National Monument,IA,43.08095081,-91.19687517,National Monument,efmo,"Guided Tours,Hiking,Front-Country Hiking,Junior Ranger Program,Wildlife Watching,Birdwatching,Museum Exhibits,Shopping,Bookstore and Park Store",
Eisenhower National Historic Site,PA,39.79577592,-77.26508101,National Historic Site,eise,"Biking,Road Biking,Guided Tours,Self-Guided Tours - Walking,Living History,Historic Weapons Demonstration,Junior Ranger Program,Museum Exhibits,Shopping,Bookstore and Park Store",
El Camino Real de Tierra Adentro National Historic Trail,"NM,TX",33.7990672546,-106.866386195,National Historic Trail,elca,"Arts and Culture,Theater,Auto and ATV,Scenic Driving,Hiking,Junior Ranger Program,Museum Exhibits",
El Camino Real de los Tejas National Historic Trail,"TX,LA",30.0922964581,-97.3397666725,National Historic Trail,elte,"Auto and ATV,Scenic Driving,Junior Ranger Program,Museum Exhibits",
El Malpais National Monument,NM,34.88422799,-107.9950948,National Monument,elma,"Arts and Culture,Auto and ATV,Scenic Driving,Astronomy,Camping,Backcountry Camping,Caving,Guided Tours,Self-Guided Tours - Walking,Hiking,Hunting and Gathering,Gathering and Foraging,Junior Ranger Program,Wildlife Watching,Park Film,Shopping,Bookstore and Park Store",
El Morro National Monument,NM,35.03895916,-108.3463984,National Monument,elmo,"Arts and Culture,Astronomy,Stargazing,Camping,Car or Front Country Camping,RV Camping,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Hiking,Front-Country Hiking,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store",
Eleanor Roosevelt National Historic Site,NY,41.76208482,-73.89894026,National Historic Site,elro,"Guided Tours,Hands-On,Citizen Science,Hiking,Museum Exhibits,Shopping,Bookstore and Park Store",
Ellis Island Part of Statue of Liberty National Monument,"NJ,NY",40.69946,-74.0401,Part of Statue of Liberty National Monument,elis,"Food,Dining,Picnicking,Guided Tours,Self-Guided Tours - Walking,Junior Ranger Program,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",
Emmett Till and Mamie Till-Mobley National Monument,"IL,MS",33.9711,-90.3698,National Monument,till,"Arts and Culture,Museum Exhibits",
Eugene O'Neill National Historic Site,CA,37.82604456,-122.0271566,National Historic Site,euon,"Arts and Culture,Theater,Guided Tours,Junior Ranger Program,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",
Everglades National Park,FL,25.37294225,-80.88200301,National Park,ever,"Auto and ATV,Scenic Driving,Astronomy,Stargazing,Biking,Road Biking,Boating,Motorized Boating,Sailing,Boat Tour,Camping,Backcountry Camping,Canoe or Kayak Camping,Car or Front Country Camping,Group Camping,RV Camping,Compass and GPS,Geocaching,Fishing,Freshwater Fishing,Saltwater Fishing,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Bus/Shuttle Guided Tour,Boat Tour,Hands-On,Citizen Science,Volunteer Vacation,Hiking,Backcountry Hiking,Front-Country Hiking,Paddling,Canoeing,Canoe or Kayak Camping,Kayaking,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",35.00
Federal Hall National Memorial,NY,40.70731192,-74.01025636,National Memorial,feha,"Arts and Culture,Guided Tours,Self-Guided Tours - Walking,Junior Ranger Program,Museum Exhibits,Shopping",
Fire Island National Seashore,NY,40.69668638,-73.00013462,National Seashore,fiis,"Arts and Culture,Astronomy,Stargazing,Boating,Camping,Backcountry Camping,Fishing,Food,Guided Tours,Hunting and Gathering,Gathering and Foraging,Hunting,Junior Ranger Program,Swimming,Wildlife Watching,Birdwatching,Shopping,Bookstore and Park Store",
First Ladies National Historic Site,OH,40.79689857,-81.37579869,National Historic Site,fila,"Guided Tours,Living History,First Person Interpretation,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store",
First State National Historical Park,"DE,PA",39.83076929,-75.56353942,National Historical Park,frst,"Biking,Mountain Biking,Fishing,Freshwater Fishing,Fly Fishing,Food,Picnicking,Hands-On,Citizen Science,Hiking,Front-Country Hiking,Horse Trekking,Horseback Riding,Living History,Junior Ranger Program",
Flight 93 National Memorial,PA,40.06061476,-78.89456905,National Memorial,flni,"Auto and ATV,Scenic Driving,Guided Tours,Self-Guided Tours - Walking,Hiking,Front-Country Hiking,Junior Ranger Program",
Florissant Fossil Beds National Monument,CO,38.91260586,-105.2803396,National Monument,flfo,"Astronomy,Stargazing,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Hiking,Backcountry Hiking,Front-Country Hiking,Horse Trekking,Horseback Riding,Junior Ranger Program,Snowshoeing,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store",10.00
Ford's Theatre National Historic Site,DC,38.89668819,-77.02577944,National Historic Site,foth,"Arts and Culture,Theater,Guided Tours,Junior Ranger Program",5.00
Fort Bowie National Historic Site,AZ,32.14925942,-109.451132,National Historic Site,fobo,"Hiking,Front-Country Hiking,Horse Trekking,Horseback Riding,Junior Ranger Program,Wildlife Watching,Birdwatching,Shopping,Bookstore and Park Store",
Fort Davis National Historic Site,TX,30.59930381,-103.8961904,National Historic Site,foda,"Arts and Culture,Craft Demonstrations,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Hiking,Backcountry Hiking,Front-Country Hiking,Living History,Historic Weapons Demonstration,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",10.00
Fort Donelson National Battlefield,"KY,TN",36.49019078,-87.92445695,National Battlefield,fodo,"Auto and ATV,Scenic Driving,Guided Tours,Self-Guided Tours - Auto,Hiking,Junior Ranger Program,Park Film,Museum Exhibits",
Fort Dupont Park,DC,38.87731289,-76.94955824,,fodu,"Arts and Culture,Live Music,Biking,Mountain Biking,Food,Picnicking,Junior Ranger Program,Wildlife Watching",
Fort Foote Park,MD,38.76901785,-77.02812387,Park,fofo,Hiking,
Fort Frederica National Monument,GA,31.2214699,-81.39452014,National Monument,fofr,"Biking,Guided Tours,Hiking,Living History,Junior Ranger Program,Park Film,Museum Exhibits",
Fort Laramie National Historic Site,WY,42.20301694,-104.5459112,National Historic Site,fola,"Astronomy,Stargazing,Fishing,Freshwater Fishing,Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Living History,Historic Weapons Demonstration,Junior Ranger Program,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",
Fort Larned National Historic Site,KS,38.18047491,-99.21836664,National Historic Site,fols,"Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Living History,Historic Weapons Demonstration,Junior Ranger Program,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store",
Fort Matanzas National Monument,FL,29.7121489,-81.23567535,National Monument,foma,"Fishing,Saltwater Fishing,Living History,Reenactments,Historic Weapons Demonstration,Junior Ranger Program,Museum Exhibits",0.00
Fort McHenry National Monument and Historic Shrine,MD,39.26395314,-76.58044165,National Monument and Historic Shrine,fomc,"Arts and Culture,Craft Demonstrations,Cultural Demonstrations,Live Music,Theater,Biking,Road Biking,Compass and GPS,Geocaching,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Hands-On,Citizen Science,Arts and Crafts,Hiking,Living History,Reenactments,Historic Weapons Demonstration,First Person Interpretation,Paddling,Kayaking,Junior Ranger Program,Skiing,Cross-Country Skiing,Downhill Skiing,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",15.00
Fort Monroe National Monument,VA,37.01733343,-76.30103195,National Monument,fomr,"Biking,Road Biking,Guided Tours,Self-Guided Tours - Walking,Hands-On,Citizen Science,Volunteer Vacation,Hiking,Living History,Reenactments,Historic Weapons Demonstration,First Person Interpretation,Wildlife Watching,Birdwatching,Museum Exhibits,Shopping,Bookstore and Park Store",
Fort Necessity National Battlefield,PA,39.81306048,-79.59033344,National Battlefield,fone,"Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Hiking,Front-Country Hiking,Living History,Historic Weapons Demonstration,Junior Ranger Program,Playground,Skiing,Cross-Country Skiing,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store",
Fort Point National Historic Site,CA,37.80837439,-122.473747,National Historic Site,fopo,"Arts and Culture,Theater,Fishing,Living History,Historic Weapons Demonstration,Park Film,Museum Exhibits",
Fort Pulaski National Monument,GA,32.0308274,-80.93361681,National Monument,fopu,"Biking,Boating,Fishing,Saltwater Fishing,Guided Tours,Self-Guided Tours - Walking,Hiking,Living History,Historic Weapons Demonstration,Paddling,Canoeing,Kayaking,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store",10.00
Fort Raleigh National Historic Site,NC,35.93278602,-75.71496865,National Historic Site,fora,"Arts and Culture,Theater,Junior Ranger Program,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store",
Fort Scott National Historic Site,KS,37.84358849,-94.70429174,National Historic Site,fosc,"Guided Tours,Living History,Historic Weapons Demonstration,Junior Ranger Program,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store",
Fort Smith National Historic Site,"AR,OK",35.38834746,-94.43129079,National Historic Site,fosm,"Guided Tours,Self-Guided Tours - Walking,Junior Ranger Program,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store",
Fort Stanwix National Monument,NY,43.21053441,-75.45557626,National Monument,fost,"Arts and Culture,Craft Demonstrations,Cultural Demonstrations,Astronomy,Stargazing,Biking,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Hands-On,Arts and Crafts,Hiking,Front-Country Hiking,Living History,Reenactments,Historic Weapons Demonstration,First Person Interpretation,Junior Ranger Program,Snow Play,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",
Fort Sumter and Fort Moultrie National Historical Park,SC,32.75654469,-79.87068744,National Historical Park,fosu,"Astronomy,Stargazing,Boating,Boat Tour,Fishing,Saltwater Fishing,Food,Dining,Guided Tours,Self-Guided Tours - Walking,Boat Tour,Hands-On,Citizen Science,Living History,Reenactments,Historic Weapons Demonstration,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store",10.00
Fort Union National Monument,NM,35.90700629,-105.0145185,National Monument,foun,"Guided Tours,Self-Guided Tours - Walking,Living History,Historic Weapons Demonstration,Junior Ranger Program,Shopping,Bookstore and Park Store",
Fort Union Trading Post National Historic Site,"MT,ND",48.00075828,-104.0375238,National Historic Site,fous,"Arts and Culture,Craft Demonstrations,Cultural Demonstrations,Guided Tours,Self-Guided Tours - Walking,Living History,Reenactments,Historic Weapons Demonstration,Junior Ranger Program,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",
Fort Vancouver National Historic Site,"OR,WA",45.62234841,-122.6617043,National Historic Site,fova,"Arts and Culture,Craft Demonstrations,Cultural Demonstrations,Biking,Guided Tours,Living History,Reenactments,Historic Weapons Demonstration,Junior Ranger Program,Playground,Wildlife Watching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store",10.00
Fort Washington Park,MD,38.7117,-77.0302,Park,fowa,"Fishing,Food,Picnicking,Guided Tours,Living History,Historic Weapons Demonstration,Shopping,Bookstore and Park Store",
Fossil Butte National Monument,WY,41.85635223,-110.7624754,National Monument,fobu,"Hiking,Junior Ranger Program,Wildlife Watching,Birdwatching,Museum Exhibits,Shopping,Bookstore and Park Store",
Frances Perkins National Monument,ME,44.0052,-69.5568,National Monument,frpe,,
Franklin Delano Roosevelt Memorial,DC,38.88341274,-77.04311542,,frde,"Guided Tours,Self-Guided Tours - Walking,Junior Ranger Program,Wildlife Watching,Birdwatching,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",
Frederick Douglass National Historic Site,DC,38.86298458,-76.98508147,National Historic Site,frdo,"Guided Tours,Self-Guided Tours - Walking,Junior Ranger Program,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store",1.00
Frederick Law Olmsted National Historic Site,MA,42.32424266,-71.13202567,National Historic Site,frla,"Guided Tours,Self-Guided Tours - Walking,Junior Ranger Program,Museum Exhibits,Shopping,Bookstore and Park Store",
Fredericksburg & Spotsylvania National Military Park,VA,38.29378,-77.46734,National Military Park,frsp,"Biking,Road Biking,Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Hiking,Front-Country Hiking,Living History,Reenactments,Historic Weapons Demonstration,Junior Ranger Program,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store",
Freedom Riders National Monument,AL,33.635269165,-85.9064331055,National Monument,frri,"Guided Tours,Self-Guided Tours - Auto,Junior Ranger Program,Museum Exhibits",
