Park Name,Non Recreation Visits,Non Recreation Hours,Concessioner Lodging,Concessioner Camping,Tent Campers,RV Campers,Backcountry,Miscellaneous Overnight Stays,Number of Activities,Entrance Fees,Recreation Visits,Crowding Levels
Guadalupe Mountains NP,76.36363636363636,76.36363636363636,0.0,0.0,1060.9772727272727,606.5075757575758,223.2651515151515,227.3636363636364,20.0,10.0,16759.409090909092,Low
Haleakala NP,1950.5454545454545,1950.5454545454545,0.0,0.0,967.6742424242424,0.0,284.6287878787879,324.3863636363636,8.0,25.0,77792.59090909091,Medium
Hawaii Volcanoes NP,155586.30303030304,155586.30303030304,2274.946969696969,389.04545454545456,94.8030303030303,3.196969696969697,372.0757575757576,5376.159090909091,17.0,30.0,125662.37121212122,High
Hot Springs NP,94685.33333333331,94685.33333333331,0.0,0.0,156.74242424242425,2278.969696969697,0.0,0.0,20.0,0.0,159960.15151515152,High
Indiana Dunes NP,372.5151515151515,372.5151515151515,0.0,0.0,1638.0984848484848,663.0454545454545,0.0,0.0,35.0,20.0,195396.56818181815,High
Isle Royale NP,10.780303030303031,10.780303030303031,824.6590909090909,18.0,415.95454545454544,0.0,2113.4772727272725,896.4772727272727,35.0,7.0,2035.659090909091,Low
Joshua Tree NP,863.3409090909091,863.3409090909091,0.0,0.0,17376.303030303032,6848.090909090909,1340.2348484848485,5600.818181818182,29.0,30.0,235096.57575757572,High
Katmai NP & PRES,273.75,273.75,345.9015151515151,0.0,275.030303030303,0.0,356.1136363636364,0.5303030303030303,23.0,0.0,3409.8030303030305,Low
Kenai Fjords NP,0.0,0.0,0.0,0.0,73.1969696969697,0.0,27.522727272727277,26.71212121212121,38.0,0.0,28598.446969696968,Low
Kobuk Valley NP,544.1060606060606,544.1060606060606,0.0,0.0,0.0,0.0,448.3939393939394,0.0,19.0,0.0,1090.8181818181818,Low
Lake Clark NP & PRES,112.25757575757576,112.25757575757576,0.0,0.0,0.0,0.0,480.74242424242425,9.37878787878788,39.0,0.0,1437.3863636363635,Low
Lassen Volcanic NP,0.0,0.0,251.5681818181818,43.02272727272727,4713.363636363636,2270.7272727272725,389.030303030303,1049.310606060606,47.0,30.0,39071.93939393939,Low
Mammoth Cave NP,10163.265151515152,10163.265151515152,1458.7121212121212,0.0,3335.825757575757,1275.659090909091,378.6136363636364,416.09090909090907,35.0,0.0,48163.61363636364,Medium
Mesa Verde NP,932.871212121212,932.871212121212,1537.0454545454545,0.0,2349.6666666666665,1821.7045454545453,0.0,16.734848484848484,20.0,30.0,42790.878787878784,Medium
Mount Rainier NP,59113.41666666666,59113.41666666666,2808.287878787879,0.0,5026.136363636364,2229.159090909091,4206.022727272727,396.1060606060606,36.0,30.0,124340.73484848483,High
New River Gorge NP & PRES,395.4772727272728,395.4772727272728,0.0,0.0,811.469696969697,438.75,477.0151515151515,115.47727272727272,46.0,0.0,119559.90151515152,Medium
North Cascades NP,0.0,0.0,0.0,0.0,0.0,0.0,1838.7651515151515,0.0,30.0,0.0,2504.5227272727275,Low
Olympic NP,67427.84090909091,67427.84090909091,6218.477272727273,1114.1969696969695,11570.136363636364,6743.05303030303,9946.007575757576,13.204545454545457,54.0,30.0,259895.9848484849,High
Petrified Forest NP,10.0,10.0,0.0,0.0,0.0,0.0,66.74242424242425,0.0,37.0,25.0,47185.51515151515,Medium
Pinnacles NP,0.0,0.0,0.0,2126.3030303030305,0.0,0.0,0.0,0.0,26.0,30.0,21840.31818181818,Low
Rocky Mountain NP,729.1666666666666,729.1666666666666,0.0,0.0,8120.621212121212,4114.992424242424,3354.333333333333,433.68939393939394,22.0,30.0,354949.6212121212,High
Saguaro NP,275675.79545454547,275675.79545454547,0.0,0.0,0.0,0.0,229.1818181818182,0.0,14.0,25.0,76299.18939393939,Medium
Shenandoah NP,913.5,913.5,5916.227272727273,0.0,9939.318181818182,4916.590909090909,4047.121212121212,20.598484848484848,34.0,30.0,125717.59848484848,High
Theodore Roosevelt NP,548.1666666666666,548.1666666666666,0.0,0.0,1071.8939393939395,1528.2954545454545,69.11363636363636,195.1818181818182,28.0,30.0,58399.51515151515,Medium
Virgin Islands NP,19142.14393939394,19142.14393939394,506.8257575757576,583.9166666666666,0.0,0.0,0.0,2111.560606060606,31.0,0.0,25196.11363636364,Low
Voyageurs NP,0.0,0.0,299.79545454545456,0.0,0.0,0.0,4637.333333333333,1976.6818181818185,48.0,0.0,19271.61363636364,Low
White Sands NP,0.0,0.0,0.0,0.0,0.0,0.0,168.8030303030303,0.0,11.0,25.0,52057.67424242424,Medium
Wind Cave NP,20063.469696969696,20063.469696969696,0.0,0.0,372.5757575757576,433.18939393939394,36.40909090909091,53.64393939393939,25.0,0.0,49804.43939393939,Medium
Wrangell-St. Elias NP & PRES,0.0,0.0,0.0,0.0,0.0,0.0,14.295454545454543,668.4090909090909,42.0,0.0,5928.545454545455,Low
Yellowstone NP,103574.03787878789,103574.03787878789,46239.454545454544,40980.333333333336,5279.037878787879,4387.477272727273,3356.568181818182,634.939393939394,53.0,35.0,352819.7878787879,High
Yosemite NP,12793.371212121212,12793.371212121212,54716.94696969697,0.0,30580.916666666668,19035.303030303032,12977.151515151516,1868.25,33.0,35.0,329310.7575757576,High
Zion NP,1825.0,1825.0,6365.825757575758,0.0,9751.825757575758,6654.969696969697,1360.5,1841.0984848484848,22.0,35.0,372234.44696969696,High
