Park,State,Latitude,Longitude,Park Code,Activities,Number of Activities,Entrance Fees
Shenandoah National Park,VA,38.49236644,-78.46907715,shen,"Auto and ATV,Scenic Driving,Astronomy,Stargazing,Biking,Road Biking,Camping,Backcountry Camping,Car or Front Country Camping,Group Camping,RV Camping,Climbing,Rock Climbing,Compass and GPS,Geocaching,Fishing,Food,Dining,Picnicking,Hands-On,Citizen Science,Hiking,Horse Trekking,Horseback Riding,Hunting and Gathering,Gathering and Foraging,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",34,30.0
Theodore Roosevelt National Park,ND,47.17777274,-103.4300083,thro,"Auto and ATV,Scenic Driving,Astronomy,Stargazing,Biking,Road Biking,Camping,Backcountry Camping,Car or Front Country Camping,Horse Camping (see also Horse/Stock Use),Group Camping,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Hiking,Backcountry Hiking,Front-Country Hiking,Off-Trail Permitted Hiking,Horse Trekking,Horse Camping (see also camping),Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store",28,30.0
Virgin Islands National Park,VI,18.34279656,-64.74194451,viis,"Arts and Culture,Craft Demonstrations,Cultural Demonstrations,Astronomy,Stargazing,Boating,Motorized Boating,Sailing,Camping,Car or Front Country Camping,Fishing,Fly Fishing,Saltwater Fishing,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Hiking,Backcountry Hiking,Front-Country Hiking,Paddling,Kayaking,Stand Up Paddleboarding,SCUBA Diving,Snorkeling,Swimming,Saltwater Swimming,Wildlife Watching,Birdwatching,Shopping,Bookstore and Park Store",31,0.0
Voyageurs National Park,MN,48.48370609,-92.8382913,voya,"Arts and Culture,Cultural Demonstrations,Astronomy,Stargazing,Biking,Boating,Motorized Boating,Sailing,Boat Tour,Camping,Backcountry Camping,Canoe or Kayak Camping,Group Camping,RV Camping,Fishing,Freshwater Fishing,Food,Dining,Picnicking,Guided Tours,Self-Guided Tours - Walking,Boat Tour,Hiking,Backcountry Hiking,Front-Country Hiking,Living History,Reenactments,Paddling,Canoeing,Canoe or Kayak Camping,Kayaking,Junior Ranger Program,Tubing,Snow Tubing,Skiing,Cross-Country Skiing,Snowmobiling,Snowshoeing,Swimming,Freshwater Swimming,Water Skiing,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",48,0.0
White Sands National Park,NM,32.77907858,-106.3333461,whsa,"Auto and ATV,Scenic Driving,Biking,Road Biking,Camping,Backcountry Camping,Food,Picnicking,Guided Tours,Hiking,Junior Ranger Program",11,25.0
Wind Cave National Park,SD,43.58012365,-103.4394709,wica,"Auto and ATV,Scenic Driving,Biking,Road Biking,Camping,Backcountry Camping,Car or Front Country Camping,Group Camping,RV Camping,Caving,Food,Picnicking,Guided Tours,Self-Guided Tours - Auto,Hiking,Backcountry Hiking,Front-Country Hiking,Horse Trekking,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store",25,0.0
Wrangell - St Elias National Park & Preserve,AK,61.4182147,-142.6028439,wrst,"Arts and Culture,Auto and ATV,ATV Off-Roading,Auto Off-Roading,Scenic Driving,Biking,Mountain Biking,Boating,Camping,Backcountry Camping,Canoe or Kayak Camping,Car or Front Country Camping,Group Camping,RV Camping,Canyoneering,Climbing,Mountain Climbing,Fishing,Freshwater Fishing,Fly Fishing,Saltwater Fishing,Flying,Fixed Wing Flying,Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Hiking,Backcountry Hiking,Front-Country Hiking,Hunting and Gathering,Gathering and Foraging,Hunting,Paddling,Junior Ranger Program,Snowmobiling,Snowshoeing,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store",42,0.0
Yellowstone National Park,"ID,MT,WY",44.59824417,-110.5471695,yell,"Arts and Culture,Auto and ATV,Scenic Driving,Astronomy,Biking,Mountain Biking,Road Biking,Boating,Boat Tour,Camping,Backcountry Camping,Canoe or Kayak Camping,Car or Front Country Camping,Horse Camping (see also Horse/Stock Use),Group Camping,RV Camping,Fishing,Freshwater Fishing,Fly Fishing,Food,Dining,Picnicking,Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Bus/Shuttle Guided Tour,Boat Tour,Hands-On,Arts and Crafts,Volunteer Vacation,Hiking,Backcountry Hiking,Front-Country Hiking,Horse Trekking,Horseback Riding,Paddling,Canoeing,Canoe or Kayak Camping,Kayaking,Junior Ranger Program,Skiing,Cross-Country Skiing,Snow Play,Snowmobiling,Snowshoeing,Swimming,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",53,35.0
Yosemite National Park,CA,37.84883288,-119.5571873,yose,"Arts and Culture,Auto and ATV,Scenic Driving,Astronomy,Biking,Boating,Camping,Backcountry Camping,Climbing,Fishing,Food,Guided Tours,Hands-On,Hiking,Backcountry Hiking,Horse Trekking,Horseback Riding,Ice Skating,Living History,Paddling,Junior Ranger Program,Tubing,Snow Tubing,Skiing,Snow Play,Snowshoeing,Swimming,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store",33,35.0
Zion National Park,UT,37.29839254,-113.0265138,zion,"Arts and Culture,Astronomy,Stargazing,Biking,Road Biking,Camping,Backcountry Camping,Car or Front Country Camping,Horse Camping (see also Horse/Stock Use),Canyoneering,Climbing,Rock Climbing,Guided Tours,Hiking,Front-Country Hiking,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store",22,35.0
